Ù.Ø.Ø..Ø.Ù.Ø¹Ù.Ø.,Ø.Ù.Ø.Ø.Ù.Ø.,Ø.Ù.Ø.Ù.Ø.Ø.,Ø.Ù.Ù.Ø.Ù.Ù.Ø¹,X,Laghouat...3.,X.1,X.2,page,Groupe,Group,Tizi.Ouzou..15.,Skikda,X.21.,Mostaganem.27.,Illizi,X.33.,El.Oued...39.,Naama...45.
Groupe dâ€™Ã¢ge,Masculin,FÃ©minin,Total,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
0-4 Ans,24567,23287,47854,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
5-9 ans,22351,21253,43604,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
10-14 ans,23108,22451,45559,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
15-19 ans,24561,23200,47761,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
20-24 ans,23822,23175,46997,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
25-29 ans,20097,19642,39739,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
30-34 ans,12303,12401,24704,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
35-39 ans,10824,10921,21746,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
40-44 ans,9989,9616,19605,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
45-49 ans,8868,8565,17432,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
50-54ans,5912,5533,11445,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
55-59 ans,4649,4744,9393,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
60-64 ans,3677,3239,6916,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
65-69 ans,3456,3001,6457,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
70-74 ans,2232,1879,4110,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
75-79 ans,1842,1628,3469,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
80-84 ans,908,664,1571,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
85 ans &  +,640,639,1279,NA,NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
