District,Age,Men,Women,Total,Check,Diff
Adrar,0-4 Ans,24567,23287,47854,47854,0
Adrar,5-9 ans,22351,21253,43604,43604,0
Adrar,10-14 ans,23108,22451,45559,45559,0
Adrar,15-19 ans,24561,23200,47761,47761,0
Adrar,20-24 ans,23822,23175,46997,46997,0
Adrar,25-29 ans,20097,19642,39739,39739,0
Adrar,30-34 ans,12303,12401,24704,24704,0
Adrar,35-39 ans,10824,10921,21746,21745,-1
Adrar,40-44 ans,9989,9616,19605,19605,0
Adrar,45-49 ans,8868,8565,17432,17433,1
Adrar,50-54ans,5912,5533,11445,11445,0
Adrar,55-59 ans,4649,4744,9393,9393,0
Adrar,60-64 ans,3677,3239,6916,6916,0
Adrar,65-69 ans,3456,3001,6457,6457,0
Adrar,70-74 ans,2232,1879,4110,4111,1
Adrar,75-79 ans,1842,1628,3469,3470,1
Adrar,80-84 ans,908,664,1571,1572,1
Adrar,85 ans &  +,640,639,1279,1279,0
Laghouat,0-4 Ans,28569,26104,54673,54673,0
Laghouat,5-9 ans,25226,24015,49241,49241,0
Laghouat,10-14 ans,25001,23988,48989,48989,0
Laghouat,15-19 ans,25447,24725,50172,50172,0
Laghouat,20-24 ans,23878,24001,47879,47879,0
Laghouat,25-29 ans,21567,21949,43516,43516,0
Laghouat,30-34 ans,16877,16633,33510,33510,0
Laghouat,35-39 ans,15065,14633,29698,29698,0
Laghouat,40-44 ans,12027,12038,24065,24065,0
Laghouat,45-49 ans,10253,9798,20051,20051,0
Laghouat,50-54ans,7917,7095,15012,15012,0
Laghouat,55-59 ans,5912,5369,11281,11281,0
Laghouat,60-64 ans,3522,3190,6712,6712,0
Laghouat,65-69 ans,4000,3415,7415,7415,0
Laghouat,70-74 ans,2927,2567,5494,5494,0
Laghouat,75-79 ans,2065,1653,3718,3718,0
Laghouat,80-84 ans,1121,832,1953,1953,0
Laghouat,85 ans &  +,826,700,1526,1526,0
Batna,0-4 Ans,58167,55186,113353,113353,0
Batna,5-9 ans,50408,48360,98769,98768,-1
Batna,10-14 ans,59172,56649,115821,115821,0
Batna,15-19 ans,67342,64755,132096,132097,1
Batna,20-24 ans,65472,63675,129147,129147,0
Batna,25-29 ans,54737,52617,107355,107354,-1
Batna,30-34 ans,42250,42152,84402,84402,0
Batna,35-39 ans,33894,34888,68782,68782,0
Batna,40-44 ans,29959,31178,61137,61137,0
Batna,45-49 ans,26470,27691,54161,54161,0
Batna,50-54ans,21325,21541,42866,42866,0
Batna,55-59 ans,17177,16218,33394,33395,1
Batna,60-64 ans,10363,10516,20880,20879,-1
Batna,65-69 ans,9367,9603,18970,18970,0
Batna,70-74 ans,7691,8014,15705,15705,0
Batna,75-79 ans,5853,5734,11586,11587,1
Batna,80-84 ans,3427,3138,6566,6565,-1
Batna,85 ans &  +,2059,2215,4275,4274,-1
Chlef,0-4 Ans,51186,48293,99479,99479,0
Chlef,5-9 ans,44003,42433,86436,86436,0
Chlef,10-14 ans,50874,48970,99844,99844,0
Chlef,15-19 ans,59479,58386,117865,117865,0
Chlef,20-24 ans,61818,62127,123946,123945,-1
Chlef,25-29 ans,52340,52219,104559,104559,0
Chlef,30-34 ans,38521,39784,78305,78305,0
Chlef,35-39 ans,30427,31995,62423,62422,-1
Chlef,40-44 ans,25750,27359,53109,53109,0
Chlef,45-49 ans,21116,22106,43222,43222,0
Chlef,50-54ans,18239,18459,36698,36698,0
Chlef,55-59 ans,15139,14382,29521,29521,0
Chlef,60-64 ans,9338,8919,18257,18257,0
Chlef,65-69 ans,7979,7933,15912,15912,0
Chlef,70-74 ans,7103,6913,14016,14016,0
Chlef,75-79 ans,4913,4746,9658,9659,1
Chlef,80-84 ans,2324,2201,4525,4525,0
Chlef,85 ans &  +,1360,1547,2907,2907,0
Oum El Bouaghi,0-4 Ans,33069,31101,64171,64170,-1
Oum El Bouaghi,5-9 ans,26681,25430,52111,52111,0
Oum El Bouaghi,10-14 ans,31979,30121,62099,62100,1
Oum El Bouaghi,15-19 ans,36435,35309,71744,71744,0
Oum El Bouaghi,20-24 ans,36329,35941,72270,72270,0
Oum El Bouaghi,25-29 ans,30981,30762,61743,61743,0
Oum El Bouaghi,30-34 ans,23473,23154,46627,46627,0
Oum El Bouaghi,35-39 ans,18726,18680,37405,37406,1
Oum El Bouaghi,40-44 ans,17070,17610,34681,34680,-1
Oum El Bouaghi,45-49 ans,16078,16384,32462,32462,0
Oum El Bouaghi,50-54ans,12705,12800,25505,25505,0
Oum El Bouaghi,55-59 ans,9634,9305,18939,18939,0
Oum El Bouaghi,60-64 ans,5417,5810,11227,11227,0
Oum El Bouaghi,65-69 ans,5171,5323,10494,10494,0
Oum El Bouaghi,70-74 ans,4305,4030,8335,8335,0
Oum El Bouaghi,75-79 ans,3253,2905,6158,6158,0
Oum El Bouaghi,80-84 ans,1631,1578,3210,3209,-1
Oum El Bouaghi,85 ans &  +,942,984,1926,1926,0
Bejaia,0-4 Ans,34047,32328,66376,66375,-1
Bejaia,5-9 ans,31581,29900,61481,61481,0
Bejaia,10-14 ans,39479,37771,77250,77250,0
Bejaia,15-19 ans,49044,47420,96463,96464,1
Bejaia,20-24 ans,57216,53978,111193,111194,1
Bejaia,25-29 ans,52309,47989,100299,100298,-1
Bejaia,30-34 ans,41986,38785,80771,80771,0
Bejaia,35-39 ans,34167,32463,66630,66630,0
Bejaia,40-44 ans,28305,27392,55697,55697,0
Bejaia,45-49 ans,22536,21418,43954,43954,0
Bejaia,50-54ans,19639,18568,38206,38207,1
Bejaia,55-59 ans,17338,16182,33520,33520,0
Bejaia,60-64 ans,9911,10546,20457,20457,0
Bejaia,65-69 ans,8602,9725,18327,18327,0
Bejaia,70-74 ans,7295,8664,15959,15959,0
Bejaia,75-79 ans,5831,6731,12562,12562,0
Bejaia,80-84 ans,3372,3633,7005,7005,0
Bejaia,85 ans &  +,2269,2586,4856,4855,-1
Biskra,0-4 Ans,42031,39153,81184,81184,0
Biskra,5-9 ans,37527,35585,73112,73112,0
Biskra,10-14 ans,41516,39940,81456,81456,0
Biskra,15-19 ans,42980,40846,83825,83826,1
Biskra,20-24 ans,39897,39787,79684,79684,0
Biskra,25-29 ans,34082,33602,67684,67684,0
Biskra,30-34 ans,25617,25829,51446,51446,0
Biskra,35-39 ans,22046,22705,44750,44751,1
Biskra,40-44 ans,18823,18974,37797,37797,0
Biskra,45-49 ans,15767,16049,31817,31816,-1
Biskra,50-54ans,12734,12680,25414,25414,0
Biskra,55-59 ans,9316,8736,18052,18052,0
Biskra,60-64 ans,5735,5817,11552,11552,0
Biskra,65-69 ans,5354,5387,10741,10741,0
Biskra,70-74 ans,4523,4575,9098,9098,0
Biskra,75-79 ans,3862,3600,7462,7462,0
Biskra,80-84 ans,1785,1627,3412,3412,0
Biskra,85 ans &  +,1330,1235,2565,2565,0
Blida,0-4 Ans,52988,50716,103705,103704,-1
Blida,5-9 ans,42504,40825,83330,83329,-1
Blida,10-14 ans,46841,44706,91548,91547,-1
Blida,15-19 ans,51709,49548,101257,101257,0
Blida,20-24 ans,52612,51698,104309,104310,1
Blida,25-29 ans,49433,48580,98013,98013,0
Blida,30-34 ans,41389,40816,82205,82205,0
Blida,35-39 ans,37962,37941,75903,75903,0
Blida,40-44 ans,32787,32295,65082,65082,0
Blida,45-49 ans,25131,24311,49442,49442,0
Blida,50-54ans,21887,20317,42204,42204,0
Blida,55-59 ans,17058,15315,32372,32373,1
Blida,60-64 ans,11950,11055,23004,23005,1
Blida,65-69 ans,9422,8938,18359,18360,1
Blida,70-74 ans,6885,7059,13944,13944,0
Blida,75-79 ans,4727,4767,9494,9494,0
Blida,80-84 ans,2298,2232,4530,4530,0
Blida,85 ans &  +,1414,1509,2923,2923,0
Tamanrasset,0-4 Ans,12814,12127,24942,24941,-1
Tamanrasset,5-9 ans,10712,10263,20974,20975,1
Tamanrasset,10-14 ans,10262,9712,19974,19974,0
Tamanrasset,15-19 ans,10212,9897,20109,20109,0
Tamanrasset,20-24 ans,9082,9292,18373,18374,1
Tamanrasset,25-29 ans,8424,8122,16546,16546,0
Tamanrasset,30-34 ans,5833,5676,11509,11509,0
Tamanrasset,35-39 ans,5460,5189,10650,10649,-1
Tamanrasset,40-44 ans,4702,4307,9010,9009,-1
Tamanrasset,45-49 ans,4054,3505,7559,7559,0
Tamanrasset,50-54ans,2564,2023,4587,4587,0
Tamanrasset,55-59 ans,2032,1747,3779,3779,0
Tamanrasset,60-64 ans,1450,1087,2537,2537,0
Tamanrasset,65-69 ans,1249,1081,2330,2330,0
