wilaya,education_inst,health_care,govt_offices,
ADRAR,515.00,186.00,306.00,
CHLEF,869.00,238.00,444.00,
LAGHOUAT,365.00,93.00,337.00,
OUM EL BOUAGHI,573.00,161.00,354.00,
BATNA,1068.00,380.00,779.00,
BEJAIA,870.00,243.00,469.00,
BISKRA,591.00,193.00,432.00,
BECHAR,301.00,133.00,356.00,
BLIDA,517.00,130.00,381.00,
BOUIRA,840.00,225.00,500.00,
TAMENRASSET,195.00,77.00,234.00,
TEBESSA,536.00,151.00,317.00,
TLEMCEN,803.00,368.00,581.00,
TIARET,801.00,177.00,381.00,
TIZI OUZOU,1011.00,366.00,567.00,
ALGER,1432.00,373.00,1082.00,
DJELFA,723.00,176.00,472.00,
JIJEL,560.00,147.00,308.00,
SETIF,1293.00,369.00,608.00,
SAIDA,291.00,96.00,274.00,
SKIKDA,750.00,230.00,456.00,
SIDI BEL-ABBES,504.00,197.00,572.00,
ANNABA,424.00,144.00,413.00,
GUELMA,419.00,163.00,336.00,
CONSTANTINE,617.00,138.00,323.00,
MEDEA,937.00,226.00,509.00,
MOSTAGANEM,658.00,196.00,436.00,
M'SILA,967.00,249.00,548.00,
MASCARA,653.00,272.00,533.00,
OUARGLA,489.00,125.00,400.00,
ORAN,775.00,204.00,529.00,
EL BAYADH,229.00,97.00,266.00,
ILLIZI,89.00,43.00,180.00,
BORDJ BOU ARRERIDJ,629.00,171.00,342.00,
BOUMERDES,551.00,170.00,273.00,
EL TARF,394.00,143.00,294.00,
TINDOUF,52.00,17.00,88.00,
TISSEMSILT,330.00,113.00,251.00,
EL OUED,604.00,198.00,508.00,
KHENCHELA,390.00,119.00,218.00,
SOUK AHRAS,426.00,108.00,327.00,
TIPAZA,484.00,156.00,386.00,
MILA,637.00,191.00,345.00,
AIN DEFLA,622.00,190.00,416.00,
NAAMA,191.00,71.00,213.00,
AIN TEMOUCHENT,312.00,137.00,316.00,
GHARDAIA,270.00,97.00,257.00,
RELIZANE,733.00,206.00,386.00,
